year,month,day,title,director,cast,genre,href,budget,box_office,gender_1,gender_2,gender_3,gender_4,gender_5,gender_director
2002,8,1,Embun,Erma Fatima,"Umie Aida, Hani Mohsin, Aqasha, Izi Yahya, Rahim Razali, Khatijah Tan, Ellie Suriaty, Ahmad Tarmimi Serigar, Mak Kwai Yuen, Riezman, Wan Shades, Loloq, Razak Ahmad, Ismail Din",Drama / Romance,,2762251,5744763,Male,Male,Female,,Female,Female
2002,8,29,Mr. Cinderella,Ahmad Idham,"Erra Fazira, Yusry KRU, Umie Aida, Aziz M. Osman, Helmi Gimmick, Opie Zami, Khatijah Ibrahim, M. Rajoli, Serina Redzuawan, Kudsia Kahar, A. R. Badul, Ropie Cecupak, Adik Tuty, Osman Kering, Yunni Nor Leitey",Comedy / Romance,,6235745,2976791,Male,Female,Male,Female,Female,Male
2002,12,6,Mami Jarum,Abdul Razak Mohaideen,"Kartina Aziz, Vanida Imran, Zahida Rafiq, Rita Rudaini, Sheila Mambo, Ezad Exists, Piee, Maideen, Ismail Din, Norlia Ghani, Rosnah Mat Aris, Rashidi Ishak, Azizah Ali, Cico, Mahdi Jalut, Chik",Comedy / Family,,739808,75597,Female,Male,Female,Male,Male,Male
2002,12,6,Cinta 200 Ela,Shadan Hashim,"Rashid Sidek, Wardina Safiyyah, Raja Azura, Man Bai, Sophia Ibrahim, Redzuan Hashim, Mahyon Ismail, Zaibo, Rambo Chin, Ramasundram",Drama / Romance,,3703202,7324525,Female,Female,Male,Female,Female,Male
2002,12,20,Soalnya Siapa?,Othman Hafsham,"Erra Fazira, Afdlin Shauki, Zaibo, Piee, Khatijah Tan, Ellie Suriaty, Rashid Salleh, Wan Maimunah, Sharifah Shahira, Linda Onn, Jaafar Onn, Aziz Sattar, Yusni Jaafar",Comedy / Romance,,5568577,6443064,Male,Female,Male,Female,Male,Male
2003,1,30,Gila-Gila Pengantin,Aziz M. Osman,"Erra Fazira, Norman Hakim, Juliana Banos, Hairie Othman, Salleh Yaacob, Syanie Hisham, M. Rajoli, A. R. Badul, A. Galak, Aimi Jarr",Romance / Comedy,,8839728,137639,Female,Female,Male,Female,Female,Female
2003,2,27,Iskandar,Nagaraj,"Awie, Jeslina Hashim, Farouk Hussein, Bob Lokman, Jalaluddin Hassan, Radhi Khalid, Hetty Sarlene, Bob Khairul, Aleeza Kassim, Maideen, Accapan, Ameng Spring, Terry Gallyot, Hamidah Wahab, Buvanes",Action / Comedy,,9823379,1844933,Male,Female,Male,Male,Male,Female
2003,3,29,Laila Isabella,Rashid Sibir,"Rosyam Nor, Nasha Aziz, Saiful Apek, Syanie, Hans Isaac, Erma Fatima, Liza Hanim, Yusni Jaafar, Azean Irdawaty, Kudsia Kahar, Seelan Paul, Norsuehada Hamid, SM Salim",Comedy / Romance,,5892201,6609928,Male,Male,Female,Female,Female,Female
2003,4,24,Mistik,Abdul Razak Mohaideen,"Cico Harahap, Nisdawati, Shaleen Cheah, Rita Rudaini, Masnaida, Al-Fathir Muchtar, Ezad Exists, Zahan, Farid, Catriona, Uji Rashid, Ismail Din",Horror / Thriller,,8371125,6561889,Male,Male,Female,Male,,Male
2003,5,29,Mami Jarum Junior,Abdul Razak Mohaideen,"Rita Rudaini, Ezad Exists, Azza Elite, Ismail Din, Norlia Ghani, Piee, Maideen, Vanida Imran, Zahida Rafiq, Sheila Mambo, Rosnah Mat Aris, Rashidi Ishak",Comedy / Family,,2502803,7779002,Female,Male,Male,Female,Female,Female
2003,6,26,Black Maria,Ambri Kailani Zain,"Nisdawati, Eizlan Yusof, Azhar Sulaiman, Joe Radzwill, Julia Hana, Hamidah Wahab, Fasha Sandha, Hisham Ahmad Tajudin, Dian P. Ramlee, Zainurdin Ismail, Rose Iskandar, Mohd Razib, Zack Idris, Aida Aris, Zahida Rafik, Zizie Ezette",Drama / Action,,1149350,7928509,Female,Female,Male,Male,Male,Female
2003,7,10,Paloh,Adman Salleh,"Janet Khoo, Namron, Gibran Agi, Ellie Suriaty, Hasnul Rahmat, Ani Maiyuni, Thor Kah Hong, Steve Ng Boon Cheng, A. Samad Salleh, Rohani Yusuff, Meoki Tong May Lan, Kamaliah Mat Dom, Adlin Aman Ramli, Lee Yoke Lan, Zack Taipan, Yalal Chin, M. Amin",Drama / Action,,1226213,8436612,Male,Female,Male,Male,Female,Male
2003,7,24,Janji Diana,Yusof Haslam,"Erra Fazira, Rosyam Nor, Sarimah Ibrahim, Faizal Hussein, Elly Mazlein, Fazley, Intan Sarafina, Helmi Gimmick, Zul Handy Black, Zack Kool, Lando, Marissa, Nurul, Rafiena Izani, Erma Fatima, Shukery Hashim, Dian P. Ramlee",Romance / Action,,8128466,5760708,Female,Female,Female,Male,Male,Female
2003,8,28,Diari Romeo,Zulkeflie M. Osman,"Achik Spin, Zack X-Factor, Sharifah Nadia, Fendi X-Factor, Masnaida, Sharifah Aleya, M. Rajoli, Sheila Mambo, Jalaluddin Hassan, Aida Rahim, Zami Ismail",Comedy,,7810529,1253044,Male,Male,Male,Male,,Male
2003,9,4,Aku Kaya The Movie,Murali Abdullah,"Yassin Yahya, Illya Buang, Hamdan Ramli, Jeslina Hashim, Rahim Razali, Munir (Phyne Ballerz), Ramasundram, Rosnah Mat Aris, Ahmad Busu, Zaibo, Amuk, X-Factor",Comedy,,9264906,9107068,Male,Male,Female,Female,Female,Male
2003,9,25,Cinta Kolestrol,Abdul Razak Mohaideen,"Erra Fazira, Yusry KRU, Hafidzuddin Fadzil, Abu Bakar Omar, Aleeza Kassim, Farid Kamil, Edrinaz (Dynaz), Liza Zain, Adik Asyhraf, Adik Fifi, Wan Khatijah, Azman, Abot, Kuman (Bob KU2), Neetylina Abu Bakar, Shahrun Nizam Suhaimi, Norhaslinda Abu Bakar, Zainab Bukhary, Rizal Othman, Abdul Razak Mohaideen",Comedy / Romance,,2948484,4046486,Male,Female,Male,,,Female
2003,11,25,Mr. Cinderella 2,Din CJ,"Erra Fazira, Yusry KRU, Maya Karin, Anita Sarawak, Opie Zami, Rashid Salleh, M. Rajoli, Khatijah Ibrahim, Helmi Gimmick, Ismail Hutson, Umie Aida, Jalaluddin Hassan, Jamali Shadat, Mohd Nor Bon, Harun Salim Bachik",Drama / Romance,,6489941,891949,Male,Female,Male,Male,,Male
2003,11,25,MX3,Yusof Kelana,"Saiful Apek, Faizal Hussein, Zul Yahya, Sarimah Ibrahim, Syanie, Juliana Banos, Sheila Rusly, Azlee Jaafar, Helmi Gimmick, Osman Kering, A. Galak, Farid Amirul, Rozaidi, M. Rajoli, Aimi Jarr, Erra Fazira, Rosyam Nor",Comedy / Action,,9008716,1368006,Female,Female,Male,Male,,Female
2003,12,4,Lang Buana,Mamat Khalid,"Azlee Jaafar, Wahid, Mazlan Pet Pet, Saiful Apek, Kuswadinata, Shamsul Ghau Ghau, Tengku Sariwani (Kunie), Adza Tutyrianti, Tan Sue Len, Loloq, S. Amin Shahab, M. Rajoli, Hasnul Rahmat",Comedy / Action,,4100321,335847,Female,Male,Male,Male,Female,Male
2003,12,18,Jutawan Fakir,Abdul Razak Mohaideen,"Saiful Apek, Waheeda, Kuman (KU2), Azza Elite, Piee, Imuda, Azlee Jaafar, Nasir Ali",Comedy,,4233438,716626,Male,Female,Female,,,Male
2003,12,25,Gila Bola,Zulkiflee Md. Said,"Fazley, Linda Onn, Opie Zami, Saiful Apek, Syanie, Cico Harahap, Julia Hana, Ako Mustapha, Accapan, Aziz M. Osman, Seelan Paul, Joe Jusophian, Ricky Rikarno, Jefri Fauzi, Tony Eusoff, Landslyde, Sulaiman Yassin",Comedy,,6539905,7847381,Female,Male,Female,Female,Male,Female
2004,1,2,Trauma,Aziz M. Osman,"Amy Mastura, Nasha Aziz, Azhar Sulaiman, Sharifah Aleya, Seelan Paul",Thriller,,8471829,4009845,Female,Female,Male,Female,Male,Male
2004,1,29,Kuliah Cinta,Abdul Razak Mohaideen,"Erra Fazira, Yusry KRU, Zahnita Hussein, Saiful Apek, Zahida Rafik, Yassin, Mohamad Faizal Hanafi (Ajai), Farid Kamil, Azza Elite, Cico Rashid, Azman Ahmad",Comedy / Romance,,4003100,3629723,Male,Female,Female,Female,,Male
2004,2,26,Bisikan Remaja,"Zulkeflie M. Osman, Din Glamour","Nisdawati, Zed Zaidi, Hasnul Rahmat, Nasrizal Ngasri, A. R. Badul, M. Rajoli, Baharuddin Omar, Rosnah Johari, Kamarool Yusof, Rosyam Nor, Pansha, Aziz M. Osman, Princess",Comedy / Romance,,7950095,8455836,Female,Male,Male,Male,,Male
2004,3,11,Buli,Afdlin Shauki,"Afdlin Shauki, Nasha Aziz, Hans Isaac, Sharifah Shahira, Hattan, Ako Mustapha, Patrick Teoh, Kartina Aziz, AC Mizal, Jeslina Hashim, Jalil Hamid, Erma Fatima, Harun Salim Bachik, Rashid Salleh, Riezman Khuzaimie, Din Beramboi, Ifa Raziah, Soraya Dean, Jason Lo, Joanna Bessey, Awie, Na’a Murad",Comedy / Romance,,9837888,9141466,Male,Female,Male,Male,,Male
2004,3,25,Bintang Hati,Aziz M. Osman,"Amy Mastura, Anuar Zain, Fasha Sandha, Jaafar Onn, Umie Aida, M. Rajoli, Rosnah Mat Aris, Spider, Saiful Apek, Erma Fatima",Comedy / Romance,,9802756,1607033,Female,Female,Female,Female,Female,Female
2004,4,8,Di Ambang Misteri,Silver Chung,"Zamarul Hisham, Elaine Daly, Raja Azery, Tony Yusop, Pekin Ibrahim, Kuswadinata, Melissa Saila, Whymen Young, Wan Suhaimi, Hussein Abu Hassan, Nabila Huda",Thriller / Mystery,,4687370,8766896,Male,Female,Male,Female,Male,Female
2004,4,29,Gila-Gila Pengantin Remaja,Aziz M. Osman,"Zahnita Hussein, Aszerul Beego (Phyne Ballerz), Rozaidi Abdul Jamil, Afdlin Shauki, Juliana Banos, Saiful Apek, A. R. Badul, Sheila Mambo",Comedy,,7252244,8934657,Female,Male,Male,Male,Female,Female
2004,5,20,Pontianak Harum Sundal Malam,Shuhaimi Baba,"Maya Karin, Azri Iskandar, Rosyam Nor, Eizlan Yusof, Kavita Sidhu, Sahronizam, Nanu Baharuddin, Ida Nerina, Sharifah Aleya, Haiza, Yusmal, Adam Hamid, Nadia Mustafa, Aziz Sattar, Shah Reza, Azwan Ali, Sofia Ibrahim, Wahid Satay, Aimi Jarr",Drama / Horror,,1740621,9508341,Male,Male,Female,Female,Male,Female
2004,6,3,Bicara Hati,Rosnani Jamil,"Fazura, Nick Mikhail, Tengku Shahirah, Zamarul Hisham, Jalaluddin Hassan, Norlida Ahmad, Shaharudin Thamby, Azween Aziz, Saiful Izham Iskandar, Eddie Halim Success, Suraya Aziz, Rosnani Jamil, Mustapha Maarof, Rozaidi Jamil, Hanis Halim, Too Cloze",Drama / Romance,,297873,7764019,Female,Male,Female,Female,Female,Female
2004,6,24,Berlari Ke Langit,Badaruddin Azmi,"Rosyam Nor, Fasha Sandha, Hasnul Rahmat, Danial Hazly, Siti Elizad, Saiful Apek, Md. Said Abdul Ghani, Lia Fidzriana, Adman Salleh, Fauziah Nawi, Wong Sip Nen",Drama / Romance,,96503,7607845,Male,Female,Male,Female,Female,Female
2004,7,22,Hingga Hujung Nyawa,Abdul Razak Mohaideen,"Erra Fazira, Yusry KRU, Khatijah Tan, Abu Bakar Omar, Ismail Din, Serina Redzuawan, Piee, Maidin, Zahida Rafik, Norlia Ghani, Vanida Imran, Rashidi Ishak, Farid Kamil",Drama / Romance,,1030649,8713643,Male,Male,Male,Female,,Female
2004,8,5,Makar,Silver Chung,"AC Mizal, Soraya Dean, Rashidi Ishak, Jason Chong, Azza Elite, Rita Rudaini, Vanida Imran, Tomok",Drama / Thriller,,2622482,6198614,Male,Male,Male,Female,,Female
2004,8,19,Aku No. 1,Aznil Nawawi,"Aznil Nawawi, Azwan Ali, Jeslina Hashim, Jaafar Onn, Munir (Phyne Ballerz), Rosnah Mat Aris",Comedy,,339526,2418656,Male,Male,Male,Male,Female,Male
2004,8,31,Puteri Gunung Ledang,Saw Teong Hin,"Tiara Jacquelina, M. Nasir, Rahim Razali, Adlin Aman Ramli, Sofia Jane, Khir Rahman, Sabri Yunus, Man Bai, Radhi Khalid, Zulkifli Zain, Mahadi Shor, Khairul Anwar, Ruminah Sidek, Christine Hakim, Slamet Rahardjo, Alex Komang, Dian Sastrowardoyo, Melissa Saila",Drama / Romance,,3069808,7996621,Male,Male,Female,Female,,Female
2004,9,9,Buai Laju-Laju,U-Wei Saari,"Eman Manan, Betty Banafe, Khalid Salleh, Liza Zain, Hasnul Rahmat, Baharuddin Omar, Adlin Aman Ramli, Anwar Idris, Amran Tompel, Firdauz Azami",Drama,,3408204,5785816,Female,Female,Male,Male,Female,Female
2004,9,23,Cinta Luar Biasa,Rashid Sibir,"Nasha Aziz, Saiful Apek, Hans Isaac, Syanie, Ako Mustapha, Erma Fatima, Fauziah Nawi, Husin Jojo, Norlia Ghani, Jasmin Hamid, Umie Aida, Aqasha, Wan Maimunah, Rosnah Mat Aris",Comedy / Romance,,2170583,8125003,Female,Male,Male,Female,,Female
2004,11,14,Tujuh Perhentian,Abdul Razak Mohaideen,"Erra Fazira, Farid Kamil, Vanida Imran, Maya Karin, Waheeda, Rashidi Ishak, Serina Redzuawan, Hattan, A. Shukor Mohaideen",Horror / Romance,,4770103,8788554,Male,Female,Male,Male,Male,Male
2004,11,14,I Know What You Did Last Raya,Abdul Razak Mohaideen,"Azlee, Mazlan, Waheeda, Zamarul Hisham, Ebby Yus, Erra Fazira, Pie, Khatijah Tan, Aznah Hamid, Mak Jah, Dynaz",Comedy / Mystery,,2613662,6490950,Female,Female,Male,,Female,Male
2004,12,2,SH3,Zek Zukry,"Ashraf Sinclair, Fasha Sandha, Nasreen Ngasri, Opie Zami, Fara Fauzana, Fezrul Khan, Adrea Abdullah, Pushpa Narayan, Pa'din, Ridzuan Hashim, Norlida Ahmad, Rosnah Johari, Louisa Chong, Yazid Sobrani, Kumin, Saiful Izham Iskandar, Ruffedge, V.E",Comedy,,8186392,2752842,Male,Male,Female,Male,Male,Male
2004,12,16,Biar Betul,Aziz M. Osman,"Afdlin Shauki, Syanie, Wahid Senario, Saiful Apek, Yassin, Accapan, Linda Onn",Comedy / Crime,,3249214,8813802,Male,Male,Male,Male,,Male
2004,12,23,Tangkai Jering,Abdul Razak Mohaideen,"Yassin Yahya, Elly Mazlein, Piee, Khatijah Tan, Ahmad Idham, Rina Khan, Azlee, Aznah Hamid, Serina Redzuawan, Farid Kamil, Ezad Exists, Shah Kassim, Zahan",Comedy,,621339,5619166,Male,Female,Male,Male,,Male
2004,12,23,Ah Lok Kafe,Anwardi Jamil,"Leonard Tan, Shawn Lee, Cheryl Lee, Ida Nerina, Masnaida Samsudin, Saiful Izham Iskandar, Nell Ng, Sue Tan, Linga Rajan, Man Bai, Reshmonu, Low Ngai Yuen, Othman Hafsham, Soo Kui Jien, Louisa Chong, Kee Thuan Chye, Pushpa Narayan, Harmandar Singh, Kenny Tay, Anwardi Jamil, Reggie Lee",Comedy,,4517650,9679578,Male,Female,Female,Male,,Female
2005,1,13,Gangster,Badaruddin Azmi,"Rosyam Nor, Umie Aida, Hasnul Rahmat, Ako Mustapha, Pushpa Narayan, Nurul Hana, Siti Elizad, Aqasha, Saiful Apek, Adlin Aman Ramli, Zack Taipan",Action / Crime,,6883366,3066810,Male,Female,Male,Female,Male,Female
2005,1,13,Chemman Chaalai,Deepak Kumaran Menon,"Saratha Sivalingam, Gandhi Nathan, Kalyani, Shangkara, Santhia Marathamuthu, Tharoni Mottian, Dhaarshini Sankran, Dinesh Ganesan, Karthikeyan, Saran, Maniam Periannan, Bala Sundram, Yap Ah Lan, Singaram Mookkan, Ramashvary Achiah, Zainal, Lim Yoong Chun, Foo Suet Mun, L. Marathamuthu, Vijaya Letchumy, Sujenthiran, Sharon Lee, Khairul Hakimin, Ramesh",Drama,,5188472,8331967,Female,Male,Female,Male,Female,Male
2005,1,27,Tak Ori Tapi OK,A. R. Badul,"Nasha Aziz, A. R. Badul, Musly Amir, S. Azli, Rahim Dalmia, Amran Tompel, Tamrin Ibrahim, Saiful Apek, Yusni Jaafar, Latiff Ibrahim, Jalil Hamid, Rosnah Johari, Ahmad Tarmimi Serigar, Herman Tino, Zulkifli Ismail, Nagaraj, Yazid Sobrani, Ropie Cecupak, Osman Kering, Pie, Rama",Comedy,,8360162,7886496,Female,Male,Female,Female,Male,Male
2005,2,9,GK3 The Movie,Yusof Haslam,"Abby Abadi, Sarimah Ibrahim, Norman Hakim, Faizal Hussein, Julia Hana, Misha Omar, Aqasha, Ezany, Saiful Apek, Corrie Lim, Zack Kool, Andy Kuanda, A. Galak, Farid Amirul, Din Maidin, Yusof Haslam, Elly Mazlein, Zambri, Zulkifli Ismail",Action / Crime,,6735162,2238620,Female,Female,Female,Male,Female,Male
2005,2,24,Sepet,Yasmin Ahmad,"Sharifah Amani, Ng Choo Seong, Harith Iskander, Ida Nerina, Adibah Noor, Tan Mei Ling, Thor Kah Hoong, Linus Chung, Alan Yun Kam Lun",Drama / Romance,,6958905,9498222,Male,Female,Female,Male,Female,Female
